instant_utc,debit_m3s
2026-08-16T00:00:00Z,0.052
2026-08-16T00:10:00Z,0.051
2026-08-16T00:20:00Z,0.048
2026-08-16T00:30:00Z,0.05
2026-08-16T00:40:00Z,0.048
2026-08-16T00:50:00Z,0.05
2026-08-16T01:00:00Z,0.051
2026-08-16T01:10:00Z,0.051
2026-08-16T01:20:00Z,0.051
2026-08-16T01:30:00Z,0.051
2026-08-16T01:40:00Z,0.05
2026-08-16T01:50:00Z,0.049
2026-08-16T02:00:00Z,0.048
2026-08-16T02:10:00Z,0.049
2026-08-16T02:20:00Z,0.05
2026-08-16T02:30:00Z,0.048
2026-08-16T02:40:00Z,0.047
2026-08-16T02:50:00Z,0.048
2026-08-16T03:00:00Z,0.05
2026-08-16T03:10:00Z,0.048
2026-08-16T03:20:00Z,0.047
2026-08-16T03:30:00Z,0.047
2026-08-16T03:40:00Z,0.05
2026-08-16T03:50:00Z,0.05
2026-08-16T04:00:00Z,0.048
2026-08-16T04:10:00Z,0.047
2026-08-16T04:20:00Z,0.047
2026-08-16T04:30:00Z,0.048
2026-08-16T04:40:00Z,0.047
2026-08-16T04:50:00Z,0.047
2026-08-16T05:00:00Z,0.047
2026-08-16T05:10:00Z,0.05
2026-08-16T05:20:00Z,0.048
2026-08-16T05:30:00Z,0.047
2026-08-16T05:40:00Z,0.048
2026-08-16T05:50:00Z,0.048
2026-08-16T06:00:00Z,0.048
2026-08-16T06:10:00Z,0.05
2026-08-16T06:20:00Z,0.048
2026-08-16T06:30:00Z,0.051
2026-08-16T06:40:00Z,0.05
2026-08-16T06:50:00Z,0.048
2026-08-16T07:00:00Z,0.049
2026-08-16T07:10:00Z,0.05
2026-08-16T07:20:00Z,0.047
2026-08-16T07:30:00Z,0.048
2026-08-16T07:40:00Z,0.05
2026-08-16T07:50:00Z,0.053
2026-08-16T08:00:00Z,0.052
2026-08-16T08:10:00Z,0.05
2026-08-16T08:20:00Z,0.052
2026-08-16T08:30:00Z,0.049
2026-08-16T08:40:00Z,0.049
2026-08-16T08:50:00Z,0.049
2026-08-16T09:00:00Z,0.051
2026-08-16T09:10:00Z,0.049
2026-08-16T09:20:00Z,0.052
